ticker,signal,direction,signal_date,entry_date,exit_date,planned_exit_date,actual_exit_date,entry_price,exit_price,position_size,entry_book_equity,shares,return,pnl,adjusted_score,confidence,regime,entry_cost,exit_cost,total_cost,impact_entry_cost,gross_return,net_return,holding_days,planned_holding_days,actual_holding_days,exit_reason
D,Bullish,1,2018-01-16,2018-01-17,2018-01-24,2018-01-22,2018-01-24,75.5,75.56,12155.57,101296.46,161.001,0.000795,9.58,0.9895,High,Bull,0.08,0.0,0.08,0.07,0.000795,0.000788,7,5,7,expiry
O,Bullish,1,2018-01-16,2018-01-17,2018-01-24,2018-01-22,2018-01-24,51.5504,52.3353,12155.57,101296.38,235.7997,0.015225,184.93,0.6993,High,Bull,0.14,0.0,0.14,0.14,0.015225,0.015214,7,5,7,expiry
WY,Bullish,1,2018-01-23,2018-01-24,2018-01-31,2018-01-29,2018-01-31,36.98,37.54,7781.42,103916.41,210.4224,0.015143,117.76,-0.597,High,Bull,0.08,0.0,0.08,0.08,0.015143,0.015133,7,5,7,expiry
F,Bullish,1,2018-01-23,2018-01-24,2018-01-25,2018-01-29,2018-01-25,12.0,11.64,12470.02,103916.84,1039.1684,-0.03,-374.16,0.9132,Medium,Bull,0.06,0.0,0.06,0.06,-0.03,-0.030005,1,5,1,stop_loss
COHR,Bullish,1,2018-01-23,2018-01-24,2018-01-25,2018-01-29,2018-01-25,48.35,46.8995,5946.47,103916.78,122.9879,-0.03,-178.47,0.823,Low,Bull,0.08,0.0,0.08,0.08,-0.03,-0.030013,1,5,1,stop_loss
BKR,Bullish,1,2018-01-23,2018-01-24,2018-01-25,2018-01-29,2018-01-25,35.96,34.8812,10087.52,103916.7,280.5205,-0.03,-302.71,0.7748,Medium,Bull,0.08,0.0,0.08,0.08,-0.03,-0.030008,1,5,1,stop_loss
EQT,Bullish,1,2018-01-23,2018-01-24,2018-01-29,2018-01-29,2018-01-29,31.9706,31.0115,6225.47,103916.53,194.7247,-0.03,-186.8,0.6131,Medium,Bull,0.04,0.0,0.04,0.04,-0.03,-0.030006,5,5,5,stop_loss
MOS,Bullish,1,2018-01-23,2018-01-24,2018-01-31,2018-01-29,2018-01-31,27.41,27.3,6014.06,103916.62,219.4112,-0.004013,-24.19,0.7282,Medium,Bull,0.05,0.0,0.05,0.05,-0.004013,-0.004022,7,5,7,expiry
KR,Bullish,1,2018-01-23,2018-01-24,2018-01-31,2018-01-29,2018-01-31,29.45,30.36,7781.43,103916.49,264.225,0.0309,240.39,0.6119,Medium,Bull,0.05,0.0,0.05,0.05,0.0309,0.030893,7,5,7,expiry
KKR,Bullish,1,2018-01-23,2018-01-24,2018-01-31,2018-01-29,2018-01-31,23.8,24.08,4835.73,103916.28,203.1819,0.011765,56.83,-0.5953,High,Bull,0.06,0.0,0.06,0.06,0.011765,0.011753,7,5,7,expiry
SATS,Bullish,1,2018-01-23,2018-01-24,2018-01-31,2018-01-29,2018-01-31,50.1945,49.4814,5684.64,103916.19,113.2523,-0.014207,-80.96,-0.5946,High,Bull,0.2,0.0,0.2,0.2,-0.014207,-0.014242,7,5,7,expiry
NKE,Bullish,1,2018-01-23,2018-01-24,2018-01-31,2018-01-29,2018-01-31,67.34,68.22,7781.38,103915.88,115.5536,0.013068,101.65,0.5672,Medium,Bull,0.04,0.0,0.04,0.04,0.013068,0.013063,7,5,7,expiry
